ContentKey,FishKey,Prey_OS_ID,Scientific Name,CommonName,Aphia_ID,Prey_Detail_Code,PreyWt,Prey_Count,OS_ID,Length,Year,Trawl_ID,Study Area,Start Depth,End Depth,Start Lat Degree,Start Lat Minutes,Start Long Degree,Start Long Minutes
62114089_892_3_1_-1198_1489,62114089_892_3_1_-1198,9998,EMPTY,EMPTY,,,,,892,48.1,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1199_1490,62114089_892_3_1_-1199,9998,EMPTY,EMPTY,,,,,892,48.9,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1200_1488,62114089_892_3_1_-1200,4769,GONATUS SP,SQUID,138036,,17.137,1,892,43.8,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1201_1484,62114089_892_3_1_-1201,8020,NATANTIA = DENDROBRANCHIATA,SHRIMP/SHRIMP SAMPLE,106669,81,5.606,,892,42.3,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1201_1485,62114089_892_3_1_-1201,6000,CRUSTACEA,CRUSTACEAN,1066,81,0.345,,892,42.3,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1201_1486,62114089_892_3_1_-1201,9980,UNIDENTIFIED MATERIAL,UNIDENTIFIED MATERIAL,,,3.557,,892,42.3,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1202_1487,62114089_892_3_1_-1202,9998,EMPTY,EMPTY,,,,,892,42.9,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1203_1483,62114089_892_3_1_-1203,8020,NATANTIA = DENDROBRANCHIATA,SHRIMP/SHRIMP SAMPLE,106669,81,4.495,,892,36.5,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1204_1482,62114089_892_3_1_-1204,9998,EMPTY,EMPTY,,,,,892,40.3,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1205_1481,62114089_892_3_1_-1205,9980,UNIDENTIFIED MATERIAL,UNIDENTIFIED MATERIAL,,,1.607,,892,39.4,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1206_1479,62114089_892_3_1_-1206,9998,EMPTY,EMPTY,,,,,892,35.7,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1207_1475,62114089_892_3_1_-1207,999,UNIDENTIFIED FISH,UNIDENTIFIED FISH,,81,0.183,,892,31.3,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1207_1476,62114089_892_3_1_-1207,451,BOREOGADUS SAIDA,ARCTIC COD,126433,88,0,,892,31.3,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1207_1477,62114089_892_3_1_-1207,451,BOREOGADUS SAIDA,ARCTIC COD,126433,88,0,,892,31.3,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1207_1478,62114089_892_3_1_-1207,6000,CRUSTACEA,CRUSTACEAN,1066,81,0.029,,892,31.3,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1208_1480,62114089_892_3_1_-1208,9998,EMPTY,EMPTY,,,,,892,33.5,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1209_1469,62114089_892_3_1_-1209,6967,THEMISTO SP,HYPERID AMPHIPOD,101800,81,0.09,,892,22.1,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1209_1470,62114089_892_3_1_-1209,9980,UNIDENTIFIED MATERIAL,UNIDENTIFIED MATERIAL,,,0.156,,892,22.1,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1210_1474,62114089_892_3_1_-1210,9998,EMPTY,EMPTY,,,,,892,24,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1211_1471,62114089_892_3_1_-1211,6930,AMPHIPODA,AMPHIPOD,1135,81,0.215,,892,24.8,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1212_1473,62114089_892_3_1_-1212,9980,UNIDENTIFIED MATERIAL,UNIDENTIFIED MATERIAL,,,0.689,,892,19.9,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1213_1472,62114089_892_3_1_-1213,6930,AMPHIPODA,AMPHIPOD,1135,,0.847,1,892,20.4,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114090_794_3_1_-1242_105,62114090_794_3_1_-1242,6000,CRUSTACEA,CRUSTACEAN,1066,81,0.008,,794,13.5,2019,62114090,RISA,421,427,60,42.277,65,30.9406
62114090_794_3_1_-1243_106,62114090_794_3_1_-1243,7933,BOREOMYSIS SP,MYSID,119842,,0.64,2,794,24.4,2019,62114090,RISA,421,427,60,42.277,65,30.9406
62114090_794_3_1_-1243_107,62114090_794_3_1_-1243,7935,BOREOMYSIS ARCTICA,MYSID,119962,,2.645,4,794,24.4,2019,62114090,RISA,421,427,60,42.277,65,30.9406
62114090_892_3_1_-1214_1381,62114090_892_3_1_-1214,9998,EMPTY,EMPTY,,,,,892,12.2,2019,62114090,RISA,421,427,60,42.277,65,30.9406
62114090_892_3_1_-1215_1384,62114090_892_3_1_-1215,6967,THEMISTO SP,HYPERID AMPHIPOD,101800,81,0.277,,892,12.4,2019,62114090,RISA,421,427,60,42.277,65,30.9406
62114090_892_3_1_-1216_1382,62114090_892_3_1_-1216,9998,EMPTY,EMPTY,,,,,892,14.1,2019,62114090,RISA,421,427,60,42.277,65,30.9406
62114090_892_3_1_-1217_1383,62114090_892_3_1_-1217,4950,POLYCHAETA,POLYCHAETE,883,81,0.039,,892,20.2,2019,62114090,RISA,421,427,60,42.277,65,30.9406
62114090_892_3_1_-1218_1386,62114090_892_3_1_-1218,9998,EMPTY,EMPTY,,,,,892,25.3,2019,62114090,RISA,421,427,60,42.277,65,30.9406
62114090_892_3_1_-1219_1394,62114090_892_3_1_-1219,7933,BOREOMYSIS SP,MYSID,119842,,0.25,1,892,25.2,2019,62114090,RISA,421,427,60,42.277,65,30.9406
62114090_892_3_1_-1219_1395,62114090_892_3_1_-1219,999,UNIDENTIFIED FISH,UNIDENTIFIED FISH,,81,7.486,,892,25.2,2019,62114090,RISA,421,427,60,42.277,65,30.9406
62114090_892_3_1_-1219_1396,62114090_892_3_1_-1219,999,UNIDENTIFIED FISH,UNIDENTIFIED FISH,,88,0,,892,25.2,2019,62114090,RISA,421,427,60,42.277,65,30.9406
62114090_892_3_1_-1220_1385,62114090_892_3_1_-1220,9998,EMPTY,EMPTY,,,,,892,25.4,2019,62114090,RISA,421,427,60,42.277,65,30.9406
62114090_892_3_1_-1221_1388,62114090_892_3_1_-1221,8020,NATANTIA = DENDROBRANCHIATA,SHRIMP/SHRIMP SAMPLE,106669,81,0.818,,892,30.9,2019,62114090,RISA,421,427,60,42.277,65,30.9406
62114090_892_3_1_-1222_1391,62114090_892_3_1_-1222,6967,THEMISTO SP,HYPERID AMPHIPOD,101800,81,0.067,,892,30.2,2019,62114090,RISA,421,427,60,42.277,65,30.9406
62114090_892_3_1_-1222_1392,62114090_892_3_1_-1222,853,LIPARIDAE,SEASNAILS,234519,88,3.317,1,892,30.2,2019,62114090,RISA,421,427,60,42.277,65,30.9406
62114090_892_3_1_-1222_1393,62114090_892_3_1_-1222,999,UNIDENTIFIED FISH,UNIDENTIFIED FISH,,88,0,,892,30.2,2019,62114090,RISA,421,427,60,42.277,65,30.9406
