"","ContentKey","Prey_OS_ID","PreyWt","Prey_Count","OS_ID","Length","Trawl_ID","Year","Start.Depth","End.Depth","Study.Area","Scientific.Name","CommonName","Start.Lat.Degree","Start.Lat.Minutes","Start.Long.Degree","Start.Long.Minutes","FishKey","region","pred.name","depth","length.range"
"75","62114089_892_3_1_-1182_1505",10016,1.276,1,892,70.3,62114089,2019,603,604,"RISA","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",60,44.19,65,36.7696,"62114089_892_3_1_-1182","EAZ","Greenland halibut","500-750 m","66-70"
"76","62114089_892_3_1_-1182_1506",8020,0.558,NA,892,70.3,62114089,2019,603,604,"RISA","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",60,44.19,65,36.7696,"62114089_892_3_1_-1182","EAZ","Greenland halibut","500-750 m","66-70"
"77","62114089_892_3_1_-1182_1507",9980,1.707,NA,892,70.3,62114089,2019,603,604,"RISA","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",60,44.19,65,36.7696,"62114089_892_3_1_-1182","EAZ","Greenland halibut","500-750 m","66-70"
"78","62114089_892_3_1_-1183_1519",9998,NA,NA,892,77.8,62114089,2019,603,604,"RISA","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",60,44.19,65,36.7696,"62114089_892_3_1_-1183","EAZ","Greenland halibut","500-750 m","76-80"
"79","62114089_892_3_1_-1184_1502",9998,NA,NA,892,67.3,62114089,2019,603,604,"RISA","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",60,44.19,65,36.7696,"62114089_892_3_1_-1184","EAZ","Greenland halibut","500-750 m","66-70"
"80","62114089_892_3_1_-1185_1500",9998,NA,NA,892,65.1,62114089,2019,603,604,"RISA","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",60,44.19,65,36.7696,"62114089_892_3_1_-1185","EAZ","Greenland halibut","500-750 m","61-65"
"81","62114089_892_3_1_-1186_1504",8112,6.959,2,892,68,62114089,2019,603,604,"RISA","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",60,44.19,65,36.7696,"62114089_892_3_1_-1186","EAZ","Greenland halibut","500-750 m","66-70"
"82","62114089_892_3_1_-1187_1518",8020,0.937,NA,892,64.3,62114089,2019,603,604,"RISA","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",60,44.19,65,36.7696,"62114089_892_3_1_-1187","EAZ","Greenland halibut","500-750 m","61-65"
"83","62114089_892_3_1_-1188_1499",9998,NA,NA,892,61.9,62114089,2019,603,604,"RISA","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",60,44.19,65,36.7696,"62114089_892_3_1_-1188","EAZ","Greenland halibut","500-750 m","61-65"
"84","62114089_892_3_1_-1189_1513",999,4.668,NA,892,64.3,62114089,2019,603,604,"RISA","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",60,44.19,65,36.7696,"62114089_892_3_1_-1189","EAZ","Greenland halibut","500-750 m","61-65"
"85","62114089_892_3_1_-1189_1514",8110,4.597,NA,892,64.3,62114089,2019,603,604,"RISA","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",60,44.19,65,36.7696,"62114089_892_3_1_-1189","EAZ","Greenland halibut","500-750 m","61-65"
"86","62114089_892_3_1_-1189_1515",8020,2.712,NA,892,64.3,62114089,2019,603,604,"RISA","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",60,44.19,65,36.7696,"62114089_892_3_1_-1189","EAZ","Greenland halibut","500-750 m","61-65"
"87","62114089_892_3_1_-1189_1516",8112,0.301,NA,892,64.3,62114089,2019,603,604,"RISA","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",60,44.19,65,36.7696,"62114089_892_3_1_-1189","EAZ","Greenland halibut","500-750 m","61-65"
"88","62114089_892_3_1_-1189_1517",436,0,NA,892,64.3,62114089,2019,603,604,"RISA","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",60,44.19,65,36.7696,"62114089_892_3_1_-1189","EAZ","Greenland halibut","500-750 m","61-65"
