"ContentKey","FishKey","Prey_OS_ID","ScientificName_W","CommonName_DB","Prey_Detail_Code","PreyWt","Prey_Count","OS_ID","Length","Year","Trawl_ID","Study.Area","Start.Depth","End.Depth","Start.Lat.Degree","Start.Lat.Minutes","Start.Long.Degree","Start.Long.Minutes","Phylum","Order","region","pred.name","depth","length.range"
"62114089_892_3_1_-1182_1507","62114089_892_3_1_-1182",9980,"Unidentified Material","UNIDENTIFIED MATERIAL",NA,1.707,NA,892,70.3,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Greenland halibut","500-750 m","66-70"
"62114089_892_3_1_-1183_1519","62114089_892_3_1_-1183",9998,"Empty","EMPTY",NA,NA,NA,892,77.8,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Greenland halibut","500-750 m","76-80"
"62114089_892_3_1_-1184_1502","62114089_892_3_1_-1184",9998,"Empty","EMPTY",NA,NA,NA,892,67.3,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Greenland halibut","500-750 m","66-70"
"62114089_892_3_1_-1185_1500","62114089_892_3_1_-1185",9998,"Empty","EMPTY",NA,NA,NA,892,65.1,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Greenland halibut","500-750 m","61-65"
"62114089_892_3_1_-1186_1504","62114089_892_3_1_-1186",8112,"Pandalus montagui","SHRIMP",NA,6.959,2,892,68,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Arthropoda","Decapoda","EAZ","Greenland halibut","500-750 m","66-70"
"62114089_892_3_1_-1187_1518","62114089_892_3_1_-1187",8020,"","SHRIMP/SHRIMP SAMPLE",81,0.937,NA,892,64.3,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Arthropoda","Decapoda","EAZ","Greenland halibut","500-750 m","61-65"
"62114089_892_3_1_-1188_1499","62114089_892_3_1_-1188",9998,"Empty","EMPTY",NA,NA,NA,892,61.9,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Greenland halibut","500-750 m","61-65"
"62114089_892_3_1_-1189_1513","62114089_892_3_1_-1189",999,"Unidentifiable Pisces","UNIDENTIFIED FISH",81,4.668,NA,892,64.3,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Pisces",NA,"EAZ","Greenland halibut","500-750 m","61-65"
"62114089_892_3_1_-1189_1514","62114089_892_3_1_-1189",8110,"Pandalus","SHRIMP",81,4.597,NA,892,64.3,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Arthropoda","Decapoda","EAZ","Greenland halibut","500-750 m","61-65"
"62114089_892_3_1_-1189_1515","62114089_892_3_1_-1189",8020,"","SHRIMP/SHRIMP SAMPLE",81,2.712,NA,892,64.3,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Arthropoda","Decapoda","EAZ","Greenland halibut","500-750 m","61-65"
